family,condition,metric,live_turn,episodes_with_event,denominator,percent,episodes_observed_at_this_live_turn
GPT,slow,first_cited_coordination_live_turn,51,50,50,100.0,30
GPT,slow,first_cited_coordination_live_turn,52,50,50,100.0,25
GPT,slow,first_cited_coordination_live_turn,53,50,50,100.0,23
GPT,slow,first_cited_coordination_live_turn,54,50,50,100.0,21
GPT,slow,first_cited_coordination_live_turn,55,50,50,100.0,18
GPT,slow,first_cited_coordination_live_turn,56,50,50,100.0,17
GPT,slow,first_cited_coordination_live_turn,57,50,50,100.0,16
GPT,slow,first_cited_coordination_live_turn,58,50,50,100.0,15
GPT,slow,first_cited_coordination_live_turn,59,50,50,100.0,15
GPT,slow,first_cited_coordination_live_turn,60,50,50,100.0,12
GPT,slow,first_cited_coordination_live_turn,61,50,50,100.0,10
GPT,slow,first_cited_coordination_live_turn,62,50,50,100.0,7
GPT,slow,first_cited_coordination_live_turn,63,50,50,100.0,4
GPT,slow,first_cited_coordination_live_turn,64,50,50,100.0,4
GPT,slow,first_cited_coordination_live_turn,65,50,50,100.0,4
GPT,slow,first_cited_coordination_live_turn,66,50,50,100.0,3
GPT,slow,first_cited_coordination_live_turn,67,50,50,100.0,2
GPT,slow,first_cited_coordination_live_turn,68,50,50,100.0,2
GPT,slow,first_cited_coordination_live_turn,69,50,50,100.0,2
GPT,slow,first_cited_coordination_live_turn,70,50,50,100.0,2
GPT,slow,first_cited_coordination_live_turn,71,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,72,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,73,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,74,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,75,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,76,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,77,50,50,100.0,1
GPT,slow,first_cited_coordination_live_turn,78,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,79,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,80,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,81,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,82,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,83,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,84,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,85,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,86,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,87,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,88,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,89,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,90,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,91,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,92,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,93,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,94,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,95,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,96,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,97,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,98,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,99,50,50,100.0,0
GPT,slow,first_cited_coordination_live_turn,100,50,50,100.0,0
GPT,slow,first_post_live_turn,0,0,50,0.0,50
GPT,slow,first_post_live_turn,1,0,50,0.0,50
GPT,slow,first_post_live_turn,2,0,50,0.0,50
GPT,slow,first_post_live_turn,3,0,50,0.0,50
GPT,slow,first_post_live_turn,4,0,50,0.0,50
GPT,slow,first_post_live_turn,5,0,50,0.0,50
GPT,slow,first_post_live_turn,6,0,50,0.0,50
GPT,slow,first_post_live_turn,7,0,50,0.0,50
GPT,slow,first_post_live_turn,8,0,50,0.0,50
GPT,slow,first_post_live_turn,9,0,50,0.0,50
GPT,slow,first_post_live_turn,10,0,50,0.0,50
GPT,slow,first_post_live_turn,11,0,50,0.0,50
GPT,slow,first_post_live_turn,12,0,50,0.0,50
GPT,slow,first_post_live_turn,13,1,50,2.0,50
GPT,slow,first_post_live_turn,14,2,50,4.0,50
GPT,slow,first_post_live_turn,15,2,50,4.0,50
GPT,slow,first_post_live_turn,16,3,50,6.0,50
GPT,slow,first_post_live_turn,17,4,50,8.0,50
GPT,slow,first_post_live_turn,18,5,50,10.0,50
GPT,slow,first_post_live_turn,19,5,50,10.0,50
GPT,slow,first_post_live_turn,20,5,50,10.0,50
GPT,slow,first_post_live_turn,21,6,50,12.0,50
GPT,slow,first_post_live_turn,22,7,50,14.0,50
GPT,slow,first_post_live_turn,23,8,50,16.0,50
GPT,slow,first_post_live_turn,24,8,50,16.0,50
GPT,slow,first_post_live_turn,25,8,50,16.0,50
GPT,slow,first_post_live_turn,26,8,50,16.0,50
GPT,slow,first_post_live_turn,27,8,50,16.0,50
GPT,slow,first_post_live_turn,28,8,50,16.0,50
GPT,slow,first_post_live_turn,29,8,50,16.0,50
GPT,slow,first_post_live_turn,30,8,50,16.0,50
GPT,slow,first_post_live_turn,31,8,50,16.0,50
GPT,slow,first_post_live_turn,32,8,50,16.0,50
GPT,slow,first_post_live_turn,33,8,50,16.0,50
GPT,slow,first_post_live_turn,34,9,50,18.0,50
GPT,slow,first_post_live_turn,35,9,50,18.0,49
GPT,slow,first_post_live_turn,36,9,50,18.0,49
GPT,slow,first_post_live_turn,37,9,50,18.0,49
GPT,slow,first_post_live_turn,38,9,50,18.0,49
GPT,slow,first_post_live_turn,39,9,50,18.0,48
GPT,slow,first_post_live_turn,40,9,50,18.0,48
GPT,slow,first_post_live_turn,41,9,50,18.0,48
GPT,slow,first_post_live_turn,42,9,50,18.0,48
GPT,slow,first_post_live_turn,43,9,50,18.0,46
GPT,slow,first_post_live_turn,44,9,50,18.0,45
GPT,slow,first_post_live_turn,45,9,50,18.0,45
GPT,slow,first_post_live_turn,46,9,50,18.0,41
GPT,slow,first_post_live_turn,47,9,50,18.0,40
GPT,slow,first_post_live_turn,48,9,50,18.0,38
GPT,slow,first_post_live_turn,49,9,50,18.0,37
GPT,slow,first_post_live_turn,50,9,50,18.0,35
GPT,slow,first_post_live_turn,51,9,50,18.0,30
GPT,slow,first_post_live_turn,52,9,50,18.0,25
GPT,slow,first_post_live_turn,53,9,50,18.0,23
GPT,slow,first_post_live_turn,54,9,50,18.0,21
GPT,slow,first_post_live_turn,55,9,50,18.0,18
GPT,slow,first_post_live_turn,56,9,50,18.0,17
GPT,slow,first_post_live_turn,57,9,50,18.0,16
GPT,slow,first_post_live_turn,58,9,50,18.0,15
GPT,slow,first_post_live_turn,59,9,50,18.0,15
GPT,slow,first_post_live_turn,60,9,50,18.0,12
GPT,slow,first_post_live_turn,61,9,50,18.0,10
GPT,slow,first_post_live_turn,62,9,50,18.0,7
GPT,slow,first_post_live_turn,63,9,50,18.0,4
GPT,slow,first_post_live_turn,64,9,50,18.0,4
GPT,slow,first_post_live_turn,65,9,50,18.0,4
GPT,slow,first_post_live_turn,66,9,50,18.0,3
GPT,slow,first_post_live_turn,67,9,50,18.0,2
GPT,slow,first_post_live_turn,68,9,50,18.0,2
GPT,slow,first_post_live_turn,69,9,50,18.0,2
GPT,slow,first_post_live_turn,70,9,50,18.0,2
GPT,slow,first_post_live_turn,71,9,50,18.0,1
GPT,slow,first_post_live_turn,72,9,50,18.0,1
GPT,slow,first_post_live_turn,73,9,50,18.0,1
GPT,slow,first_post_live_turn,74,9,50,18.0,1
GPT,slow,first_post_live_turn,75,9,50,18.0,1
GPT,slow,first_post_live_turn,76,9,50,18.0,1
GPT,slow,first_post_live_turn,77,9,50,18.0,1
GPT,slow,first_post_live_turn,78,9,50,18.0,0
GPT,slow,first_post_live_turn,79,9,50,18.0,0
GPT,slow,first_post_live_turn,80,9,50,18.0,0
GPT,slow,first_post_live_turn,81,9,50,18.0,0
GPT,slow,first_post_live_turn,82,9,50,18.0,0
GPT,slow,first_post_live_turn,83,9,50,18.0,0
GPT,slow,first_post_live_turn,84,9,50,18.0,0
GPT,slow,first_post_live_turn,85,9,50,18.0,0
GPT,slow,first_post_live_turn,86,9,50,18.0,0
GPT,slow,first_post_live_turn,87,9,50,18.0,0
GPT,slow,first_post_live_turn,88,9,50,18.0,0
GPT,slow,first_post_live_turn,89,9,50,18.0,0
GPT,slow,first_post_live_turn,90,9,50,18.0,0
GPT,slow,first_post_live_turn,91,9,50,18.0,0
GPT,slow,first_post_live_turn,92,9,50,18.0,0
GPT,slow,first_post_live_turn,93,9,50,18.0,0
GPT,slow,first_post_live_turn,94,9,50,18.0,0
GPT,slow,first_post_live_turn,95,9,50,18.0,0
GPT,slow,first_post_live_turn,96,9,50,18.0,0
GPT,slow,first_post_live_turn,97,9,50,18.0,0
GPT,slow,first_post_live_turn,98,9,50,18.0,0
GPT,slow,first_post_live_turn,99,9,50,18.0,0
GPT,slow,first_post_live_turn,100,9,50,18.0,0
Qwen,working,first_cited_coordination_live_turn,0,0,50,0.0,50
Qwen,working,first_cited_coordination_live_turn,1,26,50,52.0,50
Qwen,working,first_cited_coordination_live_turn,2,34,50,68.0,50
Qwen,working,first_cited_coordination_live_turn,3,35,50,70.0,50
Qwen,working,first_cited_coordination_live_turn,4,37,50,74.0,50
Qwen,working,first_cited_coordination_live_turn,5,37,50,74.0,50
Qwen,working,first_cited_coordination_live_turn,6,41,50,82.0,50
Qwen,working,first_cited_coordination_live_turn,7,43,50,86.0,50
Qwen,working,first_cited_coordination_live_turn,8,44,50,88.0,50
Qwen,working,first_cited_coordination_live_turn,9,44,50,88.0,50
Qwen,working,first_cited_coordination_live_turn,10,46,50,92.0,50
Qwen,working,first_cited_coordination_live_turn,11,47,50,94.0,50
Qwen,working,first_cited_coordination_live_turn,12,48,50,96.0,50
Qwen,working,first_cited_coordination_live_turn,13,48,50,96.0,50
Qwen,working,first_cited_coordination_live_turn,14,48,50,96.0,50
Qwen,working,first_cited_coordination_live_turn,15,48,50,96.0,50
Qwen,working,first_cited_coordination_live_turn,16,48,50,96.0,50
Qwen,working,first_cited_coordination_live_turn,17,49,50,98.0,50
Qwen,working,first_cited_coordination_live_turn,18,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,19,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,20,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,21,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,22,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,23,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,24,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,25,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,26,50,50,100.0,50
Qwen,working,first_cited_coordination_live_turn,27,50,50,100.0,49
Qwen,working,first_cited_coordination_live_turn,28,50,50,100.0,49
Qwen,working,first_cited_coordination_live_turn,29,50,50,100.0,49
Qwen,working,first_cited_coordination_live_turn,30,50,50,100.0,48
Qwen,working,first_cited_coordination_live_turn,31,50,50,100.0,48
Qwen,working,first_cited_coordination_live_turn,32,50,50,100.0,48
Qwen,working,first_cited_coordination_live_turn,33,50,50,100.0,48
Qwen,working,first_cited_coordination_live_turn,34,50,50,100.0,48
Qwen,working,first_cited_coordination_live_turn,35,50,50,100.0,47
Qwen,working,first_cited_coordination_live_turn,36,50,50,100.0,46
Qwen,working,first_cited_coordination_live_turn,37,50,50,100.0,45
Qwen,working,first_cited_coordination_live_turn,38,50,50,100.0,44
Qwen,working,first_cited_coordination_live_turn,39,50,50,100.0,44
Qwen,working,first_cited_coordination_live_turn,40,50,50,100.0,44
Qwen,working,first_cited_coordination_live_turn,41,50,50,100.0,43
Qwen,working,first_cited_coordination_live_turn,42,50,50,100.0,43
Qwen,working,first_cited_coordination_live_turn,43,50,50,100.0,43
Qwen,working,first_cited_coordination_live_turn,44,50,50,100.0,42
Qwen,working,first_cited_coordination_live_turn,45,50,50,100.0,40
Qwen,working,first_cited_coordination_live_turn,46,50,50,100.0,40
Qwen,working,first_cited_coordination_live_turn,47,50,50,100.0,40
Qwen,working,first_cited_coordination_live_turn,48,50,50,100.0,39
Qwen,working,first_cited_coordination_live_turn,49,50,50,100.0,36
